CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x1a293e8),Room Cap
43845,BIOL,1203,8,Full Term ... `01-SEP to 20-DEC,Evening,BIOLOGY 3:INTRO CELL BIOLOGY,STAFF,,Main,,4,0,0,0,0,0,
41812,BIOL,1204,1,Full Term ... `01-SEP to 20-DEC,Day,BIOLOGY 4:GLOBAL ECOLOGY,Padden  Harry,TR      1100 1215 SCIENC 252 (Lecture)`T       1015 1215 SCIENC 252 (Exam)`W       1100 1215 SCIENC 252 (Lab)`W       1230 1345 SCIENC 252 (Lab),Main,,4,24,0,0,26,-2,26
41813,BIOL,1204,2,Full Term ... `01-SEP to 20-DEC,Day,BIOLOGY 4:GLOBAL ECOLOGY,Petersen  Christy Lynn,MW      0930 1045 SCIENC 252 (Lecture)`W       1015 1215 SCIENC 252 (Exam)`F       0930 1045 SCIENC 252 (Lab)`F       1100 1215 SCIENC 252 (Lab),Main,,4,24,0,0,26,-2,26
41814,BIOL,1204,3,Full Term ... `01-SEP to 20-DEC,Day,BIOLOGY 4:GLOBAL ECOLOGY,Tsoukalis  Costantinos,MW      1530 1645 SCIENC 252 (Lecture)`MW      1700 1815 SCIENC 252 (Lecture)`M       1445 1645 SCIENC 252 (Exam),Main,,4,24,0,0,25,-1,26
41815,BIOL,1205,1,Full Term ... `01-SEP to 20-DEC,Day,FNDS IN BIO FOR BIOMED SCI I,Alpaugh  Mary L`Delany-Hudzik  Mary K`,MW      1230 1345 SCIENC 126 (Lecture)`T       1700 1815 SCIENC 232 (Lab)`T       1830 1945 SCIENC 232 (Lab)`W       1230 1430 SCIENC 126 (Exam),Main,,4,24,0,0,21,3,26
41816,BIOL,1205,2,Full Term ... `01-SEP to 20-DEC,Day,FNDS IN BIO FOR BIOMED SCI I,Alpaugh  Mary L`Delany-Hudzik  Mary K`,MW      1230 1345 SCIENC 126 (Lecture)`T       1400 1515 SCIENC 232 (Lab)`T       1530 1645 SCIENC 232 (Lab)`W       1230 1430 SCIENC 126 (Exam),Main,,4,24,0,0,11,13,26
41817,BIOL,1205,3,Full Term ... `01-SEP to 20-DEC,Day,FNDS IN BIO FOR BIOMED SCI I,Alpaugh  Mary L`Thomas  Jeffrey D`,MW      1100 1215 SCIENC 126 (Lecture)`M       1015 1215 SCIENC 126 (Exam)`F       0800 0915 SCIENC 232 (Lab)`F       0930 1045 SCIENC 232 (Lab),Main,,4,24,0,0,16,8,26
41818,BIOL,1205,4,Full Term ... `01-SEP to 20-DEC,Day,FNDS IN BIO FOR BIOMED SCI I,Alpaugh  Mary L`Thomas  Jeffrey D`,MW      1100 1215 SCIENC 126 (Lecture)`M       1015 1215 SCIENC 126 (Exam)`F       1100 1215 SCIENC 232 (Lab)`F       1230 1345 SCIENC 232 (Lab),Main,,4,24,0,0,22,2,26
41819,BIOL,1211,1,Full Term ... `01-SEP to 20-DEC,Day,BIOLOGY FOR CHEMICAL ENGINEERS,Thompson  Pamela L.,TR      1530 1645 SCIENC 128 (Class)`T       1445 1645 SCIENC 128 (Exam),Main,,3,30,0,0,29,1,40
41820,BIOL,1211,2,Full Term ... `01-SEP to 20-DEC,Evening,BIOLOGY FOR CHEMICAL ENGINEERS,Thompson  Pamela L.,T       1700 1815 ROWAN 104 (Class)`R       1700 1815 SAVITZ 321 (Class)`R       1700 1900 SAVITZ 321 (Exam),Main,,3,30,0,0,26,4,30
41821,BIOL,1310,1,Full Term ... `01-SEP to 20-DEC,Day,EVOLUTION,Bealor  Matthew Thomas,TF      1100 1215 SCIENC 234 (Lecture)`R       0930 1045 SCIENC 234 (Lab)`R       1015 1215 SCIENC 234 (Exam)`R       1100 1215 SCIENC 234 (Lab),Main,,4,24,0,0,19,5,26
41822,BIOL,1325,1,Full Term ... `01-SEP to 20-DEC,Evening,MYCOLOGY,Oberle  Jennifer Ann,MW      1830 1945 SCIENC 220 (Class)`MW      2000 2115 SCIENC 220 (Class)`W       1900 2100 SCIENC 220 (Exam),Main,,4,24,0,0,22,2,26
41823,BIOL,1421,1,Full Term ... `01-SEP to 20-DEC,Day,FNDMNTL IN CELL CULTURE TCHNQS,Iftode  Cristina,M       1015 1215 ROWAN 304 (Exam)`M       1100 1215 ROWAN 304 (Class)`M       1230 1345 ROWAN 304 (Class)`M       1400 1515 ROWAN 304 (Class)`M       1530 1645 ROWAN 304 (Class),Main,,4,20,0,0,19,1,42
43849,BIOL,1428,1,Full Term ... `01-SEP to 20-DEC,Weekend,DEVELOPMENTAL BIOLOGY,STAFF,,Main,,4,0,0,0,0,0,
41824,BIOL,1430,1,Full Term ... `01-SEP to 20-DEC,Day,CELL BIOLOGY,Krufka  Alison,WR      0930 1045 SCIENC 206 (Lecture)`F       0930 1045 SCIENC 206 (Lab)`F       1015 1215 SCIENC 206 (Exam)`F       1100 1215 SCIENC 206 (Lab),Main,,4,24,0,0,20,4,26
43846,BIOL,1430,2,Full Term ... `01-SEP to 20-DEC,Day,CELL BIOLOGY,Stout  Lisa M,MF      1530 1645 SCIENC 206 (Class)`M       1700 1815 SCIENC 206 (Class)`F       1400 1515 SCIENC 206 (Class)`F       1700 1900 SCIENC 206 (Exam),Main,,4,24,0,0,17,7,26
41825,BIOL,1445,1,Full Term ... `01-SEP to 20-DEC,Day,SP TOPICS BIO-WI:DISASTER BIOL Biology of Disasters (Natural & Unnatural)`,Oxler  Steven J,T       1015 1215 SCIENC 229 (Exam)`T       1100 1215 SCIENC 229 (Class)`T       1230 1345 SCIENC 229 (Class),Main,,3,16,0,0,16,0,16
41826,BIOL,1445,2,Full Term ... `01-SEP to 20-DEC,Evening,SP TOPICS BIO-WI:CLIM CHG BIOL Climate Change Biology`,Ruhl  Nathan A,R       1700 1815 SCIENC 229 (Class)`R       1700 1900 SCIENC 229 (Exam)`R       1830 1945 SCIENC 229 (Class),Main,,3,16,0,0,14,2,16
41827,BIOL,1445,3,Full Term ... `01-SEP to 20-DEC,Day,SPEC TOPICS BIO SCI-WI,Vojvodic  Svjetlana,M       1015 1215 SCIENC 229 (Exam)`M       1100 1215 SCIENC 229 (Class)`M       1230 1345 SCIENC 229 (Class),Main,,3,16,0,0,16,0,16
41828,BIOL,1445,4,Full Term ... `01-SEP to 20-DEC,Day,ST BIO SCI-WI:IMMUNOTHERAPY Immunotherapy:Using the Immune System to Treat Cancer`,Iftode  Cristina,T       1400 1515 SCIENC 229 (Class)`T       1445 1645 SCIENC 229 (Exam)`T       1530 1645 SCIENC 229 (Class),Main,,3,16,0,0,15,1,16
41829,BIOL,1460,1,Full Term ... `01-SEP to 20-DEC,Day,ANIMAL BEHAVIOR,Hough  Gerald,MW      0930 1045 SCIENC 241 (Lecture)`T       0800 0915 SCIENC 241 (Lab)`T       0930 1045 SCIENC 241 (Lab)`W       1015 1215 SCIENC 241 (Exam),Main,,4,24,0,0,24,0,26
41830,BIOL,1475,1,Full Term ... `01-SEP to 20-DEC,Day,BIOLOGY LAB/FIELD RESEARCH,Grove  Michael W.,   ,Off-campus,,3,0,0,0,38,-38,
41831,BIOL,2301,1,Full Term ... `01-SEP to 20-DEC,Day,PLANT DIVERSITY,Weightman  Stefany R,MF      1230 1345 SCIENC 252 (Class)`MF      1400 1515 SCIENC 252 (Class)`F       1445 1645 SCIENC 252 (Exam),Main,,4,24,0,0,12,12,26
41832,BIOL,10210,1,Full Term ... `01-SEP to 20-DEC,Day,HUMAN ANATOMY & PHYSIOLOGY I,Pappas  Sotirios,TR      1100 1215 SCIENC 232 (Class)`TR      1230 1345 SCIENC 232 (Class)`T       1015 1215 SCIENC 232 (Exam),Main,,4,24,1,-2,25,-1,26
41836,BIOL,10210,2,Full Term ... `01-SEP to 20-DEC,Evening,HUMAN ANATOMY & PHYSIOLOGY I,Hosseini  Matt,TR      1830 1945 SCIENC 234 (Class)`TR      2000 2115 SCIENC 234 (Class)`R       1900 2100 SCIENC 234 (Exam),Main,,4,24,1,-2,23,1,26
41837,BIOL,10210,3,Full Term ... `01-SEP to 20-DEC,Evening,HUMAN ANATOMY & PHYSIOLOGY I,Lakernick  Albert S,MW      1830 1945 SCIENC 232 (Class)`MW      2000 2115 SCIENC 232 (Class)`W       1900 2100 SCIENC 232 (Exam),Main,,4,24,1,-4,26,-2,26
41838,BIOL,10210,4,Full Term ... `01-SEP to 20-DEC,Evening,HUMAN ANATOMY & PHYSIOLOGY I,Reilly  Thomas M,MW      1830 1945 SCIENC 234 (Class)`MW      2000 2115 SCIENC 234 (Class)`W       1900 2100 SCIENC 234 (Exam),Main,,4,24,1,-3,25,-1,26
41854,BIOL,10210,5,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Weisser  Robyn,   ,Online,,4,24,0,0,25,-1,
41855,BIOL,10210,6,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Lincks  Maryann,   ,Online,,4,24,0,0,26,-2,
41856,BIOL,10210,7,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Myers  Earle Bruce,   ,Online,,4,24,0,0,24,0,
41857,BIOL,10210,8,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Young  Lawrence R,   ,Online,,4,24,0,0,26,-2,
41858,BIOL,10210,9,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Grusemeyer  Carole L.,   ,Online,,4,24,0,0,26,-2,
41859,BIOL,10210,10,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Tahamont  Maria,   ,Online,,4,24,1,-1,29,-5,
41860,BIOL,10210,11,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Tahamont  Maria,   ,Online,,4,24,1,0,28,-4,
41861,BIOL,10210,12,Full Term ... `01-SEP to 20-DEC,Online,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Vinciguerra  Vincent D,   ,Online,,4,24,0,0,27,-3,
44723,BIOL,10210,13,Full Term ... `01-SEP to 20-DEC,Day,HUMAN ANATOMY & PHYSIOLOGY I,Early  Lacey J,MW      1230 1345 SCIENC 232 (Class)`MW      1400 1515 SCIENC 232 (Class)`W       1230 1430 SCIENC 232 (Exam),Main,,4,0,0,0,26,-26,26
44724,BIOL,10210,14,Full Term ... `01-SEP to 20-DEC,Day,HUMAN ANATOMY & PHYSIOLOGY I,Early  Lacey J,MW      1530 1645 SCIENC 232 (Class)`MW      1700 1815 SCIENC 232 (Class)`M       1445 1645 SCIENC 232 (Exam),Main,,4,0,0,0,25,-25,26
41840,BIOL,10212,1,Full Term ... `01-SEP to 20-DEC,Day,HUM ANAT & PHYS II,Kollmeier  Arthur T,TW      0800 0915 SCIENC 232 (Lecture)`R       0800 0915 SCIENC 232 (Lab)`R       0800 1000 SCIENC 232 (Exam)`R       0930 1045 SCIENC 232 (Lab),Main,,4,24,0,0,24,0,26
41841,BIOL,11330,1,Full Term ... `01-SEP to 20-DEC,Day,MICROBIOLOGY,Hecht  Gregory B.,MW      1230 1345 SCIENC 204 (Lecture)`W       1230 1430 SCIENC 204 (Exam)`R       1100 1215 SCIENC 204 (Lab)`R       1230 1345 SCIENC 204 (Lab),Main,,4,24,0,0,25,-1,26
41842,BIOL,11330,2,Full Term ... `01-SEP to 20-DEC,Evening,MICROBIOLOGY,Sidelsky  Patricia Loney,TR      1830 1945 SCIENC 204 (Class)`TR      2000 2115 SCIENC 204 (Class)`R       1900 2100 SCIENC 204 (Exam),Main,,4,24,0,0,24,0,26
41843,BIOL,11330,3,Full Term ... `01-SEP to 20-DEC,Evening,MICROBIOLOGY,Mastropaolo  Matthew D,MW      1830 1945 SCIENC 204 (Class)`MW      2000 2115 SCIENC 204 (Class)`W       1900 2100 SCIENC 204 (Exam),Main,,4,24,0,0,26,-2,26
43847,BIOL,11330,4,Full Term ... `01-SEP to 20-DEC,Day,MICROBIOLOGY,Sidelsky  Patricia Loney,MW      0800 0915 SCIENC 204 (Lecture)`W       0800 1000 SCIENC 204 (Exam)`F       0800 0915 SCIENC 204 (Lab)`F       0930 1045 SCIENC 204 (Lab),Main,,4,24,0,0,24,0,26
41844,BIOL,11405,1,Full Term ... `01-SEP to 20-DEC,Day,ENVIRONMENTAL MICROBIOLOGY,Ayyappan  Vasudevan,TR      1400 1515 SCIENC 204 (Class)`TR      1530 1645 SCIENC 204 (Class)`R       1445 1645 SCIENC 204 (Exam),Main,,4,24,0,0,18,6,26
41845,BIOL,14440,1,Full Term ... `01-SEP to 20-DEC,Day,INTRO TO BIOCHEMISTRY,Hecht  Gregory B.,MW      1700 1815 WHITNY CL-201 (Class)`MW      1830 1945 WHITNY CL-201 (Class)`W       1700 1900 WHITNY CL-201 (Exam),Main,,3,30,0,0,28,2,60
41846,BIOL,14540,1,Full Term ... `01-SEP to 20-DEC,Evening,INTRO BIOCHEMISTRY,Hecht  Gregory B.,MW      1700 1815 WHITNY CL-201 (Class)`MW      1830 1945 WHITNY CL-201 (Class),Main,,3,0,0,0,0,0,60
41847,BIOL,20100,1,Full Term ... `01-SEP to 20-DEC,Day,NATURAL RESOURCES,Talty  Colleen M,T       1230 1345 SCIENC 126 (Class)`T       1230 1430 SCIENC 126 (Exam)`T       1400 1515 SCIENC 126 (Class),Main,,3,35,0,0,35,0,56
41839,BIOL,20330,1,Full Term ... `01-SEP to 20-DEC,Day,ENVIRONMENTAL SCIENCE,Richmond  Courtney E.,M       1530 1645 SCIENC 241 (Lab)`M       1700 1815 SCIENC 241 (Lab)`TR      1530 1645 SCIENC 241 (Lecture)`T       1445 1645 SCIENC 241 (Exam),Main,,4,24,0,0,20,4,26
41848,BIOL,20401,1,Full Term ... `01-SEP to 20-DEC,Day,PRINCIPLES OF ECOLOGY,Robinson  Laura S,M       0930 1045 SCIENC 239 (Lab)`M       1100 1215 SCIENC 239 (Lab)`WF      0930 1045 SCIENC 239 (Lecture)`F       1015 1215 SCIENC 239 (Exam),Main,,4,24,0,0,13,11,26
41849,BIOL,21401,1,Full Term ... `01-SEP to 20-DEC,Day,ENTOMOLOGY,Anderson  Robert D,TR      1530 1645 SCIENC 239 (Class)`TR      1700 1815 SCIENC 239 (Class)`T       1445 1645 SCIENC 239 (Exam),Main,,4,24,0,0,25,-1,26
41850,BIOL,22335,1,Full Term ... `01-SEP to 20-DEC,Day,GENETICS,Minkovsky  Natalie,TR      1530 1645 SCIENC 206 (Class)`TR      1700 1815 SCIENC 206 (Class)`T       1445 1645 SCIENC 206 (Exam),Main,,4,20,0,0,24,-4,26
41851,BIOL,22335,2,Full Term ... `01-SEP to 20-DEC,Day,GENETICS,Carroll  Jill,TR      0800 0915 SCIENC 204 (Class)`TR      0930 1045 SCIENC 204 (Class)`R       0800 1000 SCIENC 204 (Exam),Main,,4,24,0,0,24,0,26
43848,BIOL,22335,3,Full Term ... `01-SEP to 20-DEC,Day,GENETICS,Trappanese  Danielle,MF      1530 1645 SCIENC 220 (Class)`M       1700 1815 SCIENC 220 (Class)`F       1400 1515 SCIENC 220 (Class)`F       1700 1900 SCIENC 220 (Exam),Main,,4,24,0,0,23,1,26
41852,BIOL,22450,1,Full Term ... `01-SEP to 20-DEC,Day,MOLECULAR GENETICS,Brumwell  Craig L,MW      0800 0915 SCIENC 218 (Class)`MW      0930 1045 SCIENC 218 (Class)`W       0800 1000 SCIENC 218 (Exam),Main,,4,24,0,0,15,9,26
42871,BLED,40510, 1C,CGCE Module One Online ... `30-AUG to 24-OCT,Online,ISSUES LANG/CULT DIV IN ESL/BI ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Bond  Kenneth M,   ,Online,Materials `Required,3,25,0,0,8,17,
42877,BLED,40512, 1C,CGCE Module Two Online ... `25-OCT to 19-DEC,Online,LING SEC LANG ACQ TCHG LANGS ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Suh  Sora A,   ,Online,Materials `Required,3,25,0,0,13,12,
42879,BLED,40521, 1C,CGCE Module Two Online ... `25-OCT to 19-DEC,Online,TCHG BILING/BICUL ED:PROC/PRAC ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR BE GE.`,Michener  Catherine Jill,   ,Online,Materials `Required,3,25,0,0,25,0,
42872,BLED,40522, 1C,CGCE Module One Online ... `30-AUG to 24-OCT,Online,INT LANG/CONT IN ESL/BIL ED ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Suh  Sora A,   ,Online,Materials `Required,3,25,0,0,26,-1,
42874,BLED,40522, 2C,CGCE Module One Online ... `30-AUG to 24-OCT,Online,INT LANG/CONT IN ESL/BIL ED ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Fall  Madjiguene B,   ,Online,Materials `Required,3,25,0,0,26,-1,
42876,BLED,40522, 3C,CGCE Module One Online ... `30-AUG to 24-OCT,Online,INT LANG/CONT IN ESL/BIL ED ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Fall  Madjiguene B,   ,Online,Materials `Required,3,25,0,0,26,-1,
42867,BLED,40523, 1C,Full Term ... `01-SEP to 20-DEC,Online,PRACT IN TEACH ENG SEC LANG ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Prashker  Hana,   ,Online,,1,8,0,0,7,1,
42868,BLED,40523, 2C,Full Term ... `01-SEP to 20-DEC,Online,PRACT IN TEACH ENG SEC LANG ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Girault  Marie Conceptia,   ,Online,,1,8,0,0,9,-1,
42869,BLED,40523, 3C,Full Term ... `01-SEP to 20-DEC,Online,PRACT IN TEACH ENG SEC LANG ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Koegler  Suzanne M,   ,Online,,1,8,0,0,8,0,
44993,BLED,40523, 4C,Full Term ... `01-SEP to 20-DEC,Online,PRACT IN TEACH ENG SEC LANG ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Suh  Sora A,   ,Online,,1,8,0,0,7,1,
42880,BLED,40524, 1C,Full Term ... `01-SEP to 20-DEC,Online,CLINICAL INTERNSHIP IN ESL ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,STAFF,,Online,,6,0,0,0,0,0,
44737,BLED,40524, 2C,Full Term ... `01-SEP to 20-DEC,Online,CLINICAL INTERNSHIP IN ESL ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Prashker  Hana,   ,Online,,6,0,0,0,1,-1,
45233,BLED,40524, 3C,Full Term ... `01-SEP to 20-DEC,Online,CLINICAL INTERNSHIP IN ESL ONLINE. AFTER REGISTRATION  VISIT ROWANONLINE.COM/PORTAL TO GET STARTED. FOR ESL COGS/BE GE.`,Sibilia  Laurine V,   ,Online,,6,0,0,0,1,-1,
42323,BME,390,1,Full Term ... `01-SEP to 20-DEC,Day,ST IN BME:ELECTRICAL FNDS,Shim  Jiwook,M       1400 1515 JAMES 3091A (Class)`W       1230 1345 ROWAN 117 (Class)`W       1400 1515 ROWAN 117 (Class)`F       1230 1345 ROWAN 104 (Class)`F       1445 1645 ROWAN 104 (Exam),Main,,4,40,0,0,41,-1,42
42324,BME,390,2,Full Term ... `01-SEP to 20-DEC,Day,ST IN BME:PHYSIOLOGICAL FNDS,Staehle  Mary McDonald`Beachley  Vincent Z`,M       1100 1215 ENTPRZ 506 (Class)`T       0930 1045 SCIENC 324 (Class)`T       1015 1215 SCIENC 324 (Exam)`T       1100 1215 SCIENC 324 (Class)`R       1100 1215 ROWAN 104 (Class),Main,,4,40,0,0,38,2,42
42325,BME,390,3,Full Term ... `01-SEP to 20-DEC,Day,ST IN BME:MECHANICAL FNDS,Galie  Peter Adam,MW      0930 1045 ROBSON 101B (Class)`W       1015 1215 ROBSON 101B (Exam)`F       0930 1045 ROBSON 224 (Class)`F       1100 1215 ROBSON 224 (Class),Main,,4,40,0,0,36,4,40
40436,BMS,1105,1,Full Term ... `01-SEP to 20-DEC,Day,INTRO BIOMEDICAL SCIENCES I-RS,Nucci  Nathaniel V`Wu  Chun`Krummenacher  Claude Francois`Keck  Thomas M`,T       1400 1540 SCIENC 341 (Class)`T       1445 1645 SCIENC 341 (Exam),Main,,2,0,0,0,18,-18,24
41588,BMS,1220,1,Full Term ... `01-SEP to 20-DEC,Day,TRANSLATIONAL BIOMED RESEARC I,Dobbins  Tabbetha Amanda`Yang  Catherine`Soto Reyes  Ileana`Wu  Chun`,MW      0930 1045   (Class)`MW      1100 1215   (Class),Main,,2,15,0,0,8,7,
41853,BMS,1306,1,Full Term ... `01-SEP to 20-DEC,Evening,TRANSLATIONAL CELL BIOLOGY,Krummenacher  Claude Francois,MT      1700 1815 BUNCE 104 (Class)`M       1700 1900 BUNCE 104 (Exam),Main,,3,24,0,0,7,17,24
41302,BMS,1315,1,Full Term ... `01-SEP to 20-DEC,Day,INSTRUMTN FOR BIOMEDICAL SCIEN,Hettinger  Jeffrey D.`Caputo  Gregory A`,MW      1230 1345 SCIENC 150 (Class)`W       1230 1430 SCIENC 150 (Exam),Main,,3,20,0,0,9,11,36
41589,BMS,1320,1,Full Term ... `01-SEP to 20-DEC,Day,TRANSL BIOMEDICAL RESEARCH III,Keck  Thomas M`Wu  Chun`Krummenacher  Claude Francois`Nucci  Nathaniel V`,MW      0930 1045   (Class)`MW      1100 1215   (Class),Main,,2,15,0,0,7,8,
43858,BMS,1333,1,Full Term ... `01-SEP to 20-DEC,Day,CELLULAR BIOCHEMISTRY,Keck  Thomas M,TR      1530 1645 SCIENC 314 (Lecture)`T       1900 2100 SCIENC 254 (Exam)`W       1530 1645 SCIENC 304 (Lab)`W       1700 1815 SCIENC 304 (Lab),Main,,4,16,10,3,7,6,24
41920,BUS,1105,1,Full Term ... `01-SEP to 20-DEC,Evening,BUSINESS PERSPECTIVES,Matranga  Joseph Mark,T       1700 1815 ENTPRZ 406 (Class)`T       1700 1900 ENTPRZ 406 (Exam)`T       1830 1945 ENTPRZ 406 (Class),Main,,3,0,0,0,15,-15,32
41895,BUS,1303,1,Full Term ... `01-SEP to 20-DEC,Online,BUSINESS PRACTICUM,Schillo  Michael B,   ,Online,,3,30,0,0,18,12,
43975,BUS,1303,2,Full Term ... `01-SEP to 20-DEC,Evening,BUSINESS PRACTICUM This section is held at Rowan College at Burlington County.`,STAFF,,Rowan College at Burlington Co,,3,0,0,0,0,0,
41922,BUS,1401,1,Full Term ... `01-SEP to 20-DEC,Evening,ISSUE IN BUS: DIRECTD RESEARCH,White  Frederick Scott,W       1700 1815 ENTPRZ 417 (Class)`W       1700 1900 ENTPRZ 417 (Exam)`W       1830 1945 ENTPRZ 417 (Class),Main,,3,24,0,0,18,6,32
45033,CASE,90800,1,Full Term ... `01-SEP to 20-DEC,Evening,CURR ISS & RSH IN AC&E IN ED,Walpole  MaryBeth,T       1700 1900 JAMES 2098 (Exam)`T       1700 1930 JAMES 2098 (Class),Main,,3,8,0,0,10,-2,18
45046,CASE,90810,1,Full Term ... `01-SEP to 20-DEC,Evening,QUANTITATIVE RES METHODS IN ED,Ferguson  Sarah Lynn,T       1900 2100 JAMES 2098 (Exam)`T       1945 2215 JAMES 2098 (Class),Main,,3,8,0,0,10,-2,18
45050,CASE,90820,1,Full Term ... `01-SEP to 20-DEC,Evening,ADVOCY LDRSP PROFL ISS COUN ED,Ieva  Kara Pauline,R       1700 1900 JAMES 2094 (Exam)`R       1700 1930 JAMES 2094 (Class),Main,,3,4,0,0,2,2,16
45056,CASE,90830,1,Full Term ... `01-SEP to 20-DEC,Evening,INTRO TO POSTSECONDARY EDUC,Kerrigan  Monica Reid,W       1700 1900 JAMES 3109 (Exam)`W       1700 1930 JAMES 3109 (Class),Main,,3,4,0,0,3,1,36
45043,CASE,90840,1,Full Term ... `01-SEP to 20-DEC,Day,THEORETL PERSPEC STDY LITERACY,Browne  Susan,T       1015 1215 JAMES 1128 (Exam)`T       1100 1215 JAMES 1128 (Class)`T       1230 1345 JAMES 1128 (Class),Main,,3,4,0,0,3,1,30
45044,CASE,90850,1,Full Term ... `01-SEP to 20-DEC,Day,ACCESS/SUCCESS/EQUITY SPEC ED,Edwards  Nicole Megan,W       1100 1215 JAMES 3099 (Class)`W       1230 1345 JAMES 3099 (Class)`W       1230 1430 JAMES 3099 (Exam),Main,,3,4,0,0,2,2,30
44172,CBIO,6019M,Y10,SOM Term ... `08-AUG to 19-MAY,Day,HUMAN GROSS ANATOMY,Carsia  Rocco V,   ,Stratford,,1,999,0,0,157,842,
44215,CBIO,6320M,Y10,SOM Term ... `08-AUG to 19-MAY,Day,MEDICAL PHYSIOLOGY,Podolin-Whiting  Deborah P.,   ,Stratford,,1,999,0,0,158,841,
44227,CBIO,7310M,Y20,SOM Term ... `01-AUG to 05-MAY,Day,PHARMACOLOGY,Spur  Bernd`Yin  Kingsley E.`,   ,Stratford,,1,999,0,0,163,836,
40783,CEE,8301,1,Full Term ... `01-SEP to 20-DEC,Day,CIVIL ENGINEERING MATERIALS,Mehta  Yusuf`Bhavsar  Parth Pravinbhai`,M       1230 1345 ROWAN 239 (Class)`M       1400 1515 ROWAN 239 (Class)`T       1445 1645 BOZ 112 (Exam)`T       1530 1645 ROWAN 117 (Class)`R       1100 1215 ROWAN 117 (Class),Main,,2,18,0,0,20,-2,36
40863,CEE,8301,2,Full Term ... `01-SEP to 20-DEC,Day,CIVIL ENGINEERING MATERIALS,Mehta  Yusuf,T       1445 1645 BOZ 112 (Exam)`T       1530 1645 ROWAN 117 (Class)`W       1230 1345 ROWAN 239 (Class)`W       1400 1515 ROWAN 239 (Class)`R       1100 1215 ROWAN 117 (Class),Main,,2,18,0,0,18,0,36
40871,CEE,8301,3,Full Term ... `01-SEP to 20-DEC,Evening,CIVIL ENGINEERING MATERIALS,Mehta  Yusuf`Lomboy  Gilson Rescober`,T       1445 1645 BOZ 112 (Exam)`T       1530 1645 ROWAN 117 (Class)`T       1700 1815   (Class)`T       1830 1945   (Class)`R       1100 1215 ROWAN 117 (Class),Main,,2,18,0,0,16,2,116
