Subj,Crse,Sect,(Type) 0,Day 0,Times 0, Building and Room 0,(Type) 1,Day 1,Times 1, Building and Room 1,(Type) 2,Day 2,Times 2, Building and Room 2,(Type) 3,Day 3,Times 3, Building and Room 3,(Type) 4,Day 4,Times 4, Building and Room 4,(Type) 5,Day 5,Times 5, Building and Room 5,(Type) 6,Day 6,Times 6, Building and Room 6,(Type) 7,Day 7,Times 7, Building and Room 7,(Type) 8,Day 8,Times 8, Building and Room 8,(Type) 9,Day 9,Times 9, Building and Room 9,(Type) 10,Day 10,Times 10, Building and Room 10,Session,CRN,Title,Prof,Campus,Hrs
BIOL,01104, 11,(Class),T,1530 to 1645,SCIENC 252,(Class),R,1530 to 1645,SCIENC 252,(Class),T,1700 to 1815,SCIENC 252,(Class),R,1700 to 1815,SCIENC 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41729,BIOLOGY 1:DIVERS/EVOL/ADAP,Skorina Laura K,Main,4
BIOL,01104, 12,(Class),T,1530 to 1645,SCIENC 218,(Class),R,1530 to 1645,SCIENC 218,(Class),T,1700 to 1815,SCIENC 218,(Class),R,1700 to 1815,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41730,BIOLOGY 1:DIVERS/EVOL/ADAP,McArdle Daniel J.,Main,4
BIOL,01104, 13,(Class),M,1530 to 1645,SCIENC 218,(Class),W,1530 to 1645,SCIENC 218,(Class),M,1700 to 1815,SCIENC 218,(Class),W,1700 to 1815,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41731,BIOLOGY 1:DIVERS/EVOL/ADAP,STAFF,Main,4
BIOL,01104, 14,(Lecture),M,1400 to 1515,SCIENC 220,(Lecture),W,1400 to 1515,SCIENC 220,(Lab),T,1230 to 1345,SCIENC 220,(Lab),T,1400 to 1515,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44942,BIOLOGY 1:DIVERS/EVOL/ADAP,Fullerton Robert Daniel,Main,4
BIOL,01106,  1,(Lecture),M,1100 to 1215,SCIENC 206,(Lecture),R,1100 to 1215,SCIENC 206,(Lab),T,0930 to 1045,SCIENC 206,(Lab),T,1100 to 1215,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41732,BIOLOGY 2:CONCEPTS GENETICS,Hickman Mark J,Main,4
BIOL,01106,  2,(Class),M,1530 to 1645,SCIENC 204,(Class),W,1530 to 1645,SCIENC 204,(Class),M,1700 to 1815,SCIENC 204,(Class),W,1700 to 1815,SCIENC 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41733,BIOLOGY 2:CONCEPTS GENETICS,Eaton Gregory J.,Main,4
BIOL,01106,  3,(Lecture),M,1400 to 1515,SCIENC 206,(Lecture),T,1400 to 1515,SCIENC 206,(Lab),W,1400 to 1515,SCIENC 206,(Lab),W,1530 to 1645,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41734,BIOLOGY 2:CONCEPTS GENETICS,Vojvodic Svjetlana,Main,4
BIOL,01106,  4,(Class),M,0930 to 1045,SCIENC 204,(Class),W,0930 to 1045,SCIENC 204,(Class),M,1100 to 1215,SCIENC 204,(Class),W,1100 to 1215,SCIENC 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41735,BIOLOGY 2:CONCEPTS GENETICS,Carroll Jill,Main,4
BIOL,01106,  5,(Class),T,1100 to 1215,SCIENC 204,(Class),F,1100 to 1215,SCIENC 204,(Class),T,1230 to 1345,SCIENC 204,(Class),F,1230 to 1345,SCIENC 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41736,BIOLOGY 2:CONCEPTS GENETICS,Carone Benjamin R,Main,4
BIOL,01106,  6,(Lab),M,1230 to 1500,SCIENC 218,(Lecture),T,1400 to 1515,SCIENC 218,(Lecture),W,1400 to 1515,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43843,BIOLOGY 2:CONCEPTS GENETICS,Eaton Gregory J.,Main,4
BIOL,01106,  7,(Lecture),T,2130 to 2245,SCIENC 218,(Lecture),R,2130 to 2245,SCIENC 218,(Lab),S,0800 to 0915,SCIENC 218,(Lab),S,0930 to 1045,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43844,BIOLOGY 2:CONCEPTS GENETICS,Braun Alexander,Main,4
BIOL,01110,  1,(Class),T,0930 to 1045,SCIENC 252,(Class),R,0930 to 1045,SCIENC 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41737,HUMAN BIOLOGY,Wagner Frank J.,Main,3
BIOL,01110,  2,(Class),R,1700 to 1815,RUCAB 311,(Class),R,1830 to 1945,RUCAB 311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41708,HUMAN BIOLOGY,Ruiz-White Inez Amina,Camden,3
BIOL,01112,  1,(Lecture),W,0800 to 0915,SCIENC 241,(Lecture),R,0800 to 0915,SCIENC 241,(Lab),F,0800 to 0915,SCIENC 241,(Lab),F,0930 to 1045,SCIENC 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41738,GENERAL BIO-ENVIR FOCUS,Chan Shue,Main,4
BIOL,01112,  2,(Lab),M,1700 to 1815,CAMDEN 308,(Lab),M,1830 to 1945,CAMDEN 308,(Lecture),W,1700 to 1815,RUCAB 309,(Lecture),W,1830 to 1945,RUCAB 309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41709,GENERAL BIO-ENVIR FOCUS,Smith Summer Laura,Camden,4
BIOL,01113,  1,(Lecture),T,0800 to 0915,SCIENC 126,(Lecture),R,0800 to 0915,SCIENC 126,(Lab),F,0800 to 0915,SCIENC 226,(Lab),F,0930 to 1045,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41739,GENERAL BIO-HUMAN FOCUS,Gillen Lisa Pividori`Emanuel Anntania J`,Main,4
BIOL,01113,  2,(Lecture),T,0800 to 0915,SCIENC 126,(Lecture),R,0800 to 0915,SCIENC 126,(Lab),W,0930 to 1045,SCIENC 226,(Lab),W,1100 to 1215,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41740,GENERAL BIO-HUMAN FOCUS,Gillen Lisa Pividori`Emanuel Anntania J`,Main,4
BIOL,01113,  3,(Lab),M,0800 to 0915,SCIENC 226,(Lab),M,0930 to 1045,SCIENC 226,(Lecture),T,0930 to 1045,SCIENC 126,(Lecture),R,0930 to 1045,SCIENC 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41741,GENERAL BIO-HUMAN FOCUS,Wagner Walter J,Main,4
BIOL,01113,  4,(Lab),M,1100 to 1215,SCIENC 226,(Lab),M,1230 to 1345,SCIENC 226,(Lecture),T,0930 to 1045,SCIENC 126,(Lecture),R,0930 to 1045,SCIENC 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41742,GENERAL BIO-HUMAN FOCUS,Wagner Walter J,Main,4
BIOL,01113,  5,(Lecture),M,1830 to 1945,SCIENC 126,(Lecture),W,1830 to 1945,SCIENC 126,(Lab),T,0800 to 0915,SCIENC 226,(Lab),T,0930 to 1045,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41743,GENERAL BIO-HUMAN FOCUS,Tarchichi Ronnie Michel`Bartelt Steven W`,Main,4
BIOL,01113,  6,(Lecture),M,1830 to 1945,SCIENC 126,(Lecture),W,1830 to 1945,SCIENC 126,(Lab),R,0800 to 0915,SCIENC 226,(Lab),R,0930 to 1045,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41744,GENERAL BIO-HUMAN FOCUS,Tarchichi Ronnie Michel`Bartelt Steven W`,Main,4
BIOL,01113,  7,(Lecture),M,1700 to 1815,SCIENC 126,(Lecture),W,1700 to 1815,SCIENC 126,(Lab),R,1100 to 1215,SCIENC 226,(Lab),R,1230 to 1345,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41745,GENERAL BIO-HUMAN FOCUS,STAFF,Main,4
BIOL,01113,  8,(Lecture),M,1700 to 1815,SCIENC 126,(Lecture),W,1700 to 1815,SCIENC 126,(Lab),R,1400 to 1515,SCIENC 226,(Lab),R,1530 to 1645,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41746,GENERAL BIO-HUMAN FOCUS,STAFF,Main,4
BIOL,01113,  9,(Lecture),M,1530 to 1645,SCIENC 126,(Lecture),W,1530 to 1645,SCIENC 126,(Lab),T,1530 to 1645,SCIENC 226,(Lab),T,1700 to 1815,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41747,GENERAL BIO-HUMAN FOCUS,Delany-Hudzik Mary K,Main,4
BIOL,01113, 10,(Lecture),M,1530 to 1645,SCIENC 126,(Lecture),W,1530 to 1645,SCIENC 126,(Lab),R,1700 to 1815,SCIENC 226,(Lab),R,1830 to 1945,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41748,GENERAL BIO-HUMAN FOCUS,Delany-Hudzik Mary K,Main,4
BIOL,01113, 11,(Lab),M,1530 to 1645,SCIENC 226,(Lab),M,1700 to 1815,SCIENC 226,(Lecture),T,1700 to 1815,SCIENC 126,(Lecture),R,1700 to 1815,SCIENC 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41749,GENERAL BIO-HUMAN FOCUS,Maher Linda M.,Main,4
BIOL,01113, 12,(Lecture),T,1700 to 1815,SCIENC 126,(Lecture),R,1700 to 1815,SCIENC 126,(Lab),W,1530 to 1645,SCIENC 226,(Lab),W,1700 to 1815,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41750,GENERAL BIO-HUMAN FOCUS,Maher Linda M.,Main,4
BIOL,01113, 13,(Lecture),M,1400 to 1515,SCIENC 126,(Lecture),W,1400 to 1515,SCIENC 126,(Lab),M,1830 to 1945,SCIENC 226,(Lab),M,2000 to 2115,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41751,GENERAL BIO-HUMAN FOCUS,Joyce Karen L,Main,4
BIOL,01113, 14,(Lecture),M,1400 to 1515,SCIENC 126,(Lecture),W,1400 to 1515,SCIENC 126,(Lab),T,1830 to 1945,SCIENC 226,(Lab),T,2000 to 2115,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41752,GENERAL BIO-HUMAN FOCUS,Joyce Karen L,Main,4
BIOL,01113, 15,(Lecture),T,1530 to 1645,SCIENC 126,(Lecture),R,1530 to 1645,SCIENC 126,(Lab),T,1100 to 1215,SCIENC 226,(Lab),T,1230 to 1345,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41753,GENERAL BIO-HUMAN FOCUS,STAFF,Main,4
BIOL,01113, 16,(Lecture),T,1530 to 1645,SCIENC 126,(Lecture),R,1530 to 1645,SCIENC 126,(Lab),W,1230 to 1345,SCIENC 226,(Lab),W,1400 to 1515,SCIENC 226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41754,GENERAL BIO-HUMAN FOCUS,STAFF,Main,4
BIOL,01202,  1,(Lecture),T,1530 to 1645,SCIENC 220,(Lecture),R,1530 to 1645,SCIENC 220,(Lab),W,1530 to 1645,SCIENC 220,(Lab),W,1700 to 1815,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41800,BIOLOGY 3T:BIO SKILLS/METHODS,Grove Michael W.,Main,4
BIOL,01202,  2,(Lecture),M,0800 to 0915,SCIENC 220,(Lecture),T,0800 to 0915,SCIENC 220,(Lab),W,0800 to 0915,SCIENC 220,(Lab),W,0930 to 1045,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41801,BIOLOGY 3T:BIO SKILLS/METHODS,O'Brien Terry,Main,4
BIOL,01202,  3,(Lecture),M,1230 to 1345,SCIENC 220,(Lecture),W,1230 to 1345,SCIENC 220,(Lab),R,1230 to 1345,SCIENC 220,(Lab),R,1400 to 1515,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41802,BIOLOGY 3T:BIO SKILLS/METHODS,Richmond Courtney E.,Main,4
BIOL,01202,  4,(Lecture),T,0930 to 1045,SCIENC 220,(Lecture),F,0930 to 1045,SCIENC 220,(Lab),R,0800 to 0915,SCIENC 220,(Lab),R,0930 to 1045,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41803,BIOLOGY 3T:BIO SKILLS/METHODS,O'Brien Terry,Main,4
BIOL,01202,  5,(Lab),M,0930 to 1045,SCIENC 220,(Lab),M,1100 to 1215,SCIENC 220,(Lecture),T,1100 to 1215,SCIENC 220,(Lecture),W,1100 to 1215,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41804,BIOLOGY 3T:BIO SKILLS/METHODS,Tahamont Maria,Main,4
BIOL,01203,  1,(Class),M,1830 to 1945,SCIENC 218,(Class),W,1830 to 1945,SCIENC 218,(Class),M,2000 to 2115,SCIENC 218,(Class),W,2000 to 2115,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41805,BIOLOGY 3:INTRO CELL BIOLOGY,Krummenacher Claude Francois,Main,4
BIOL,01203,  2,(Lecture),T,0930 to 1045,SCIENC 218,(Lecture),R,0930 to 1045,SCIENC 218,(Lab),F,0800 to 0915,SCIENC 218,(Lab),F,0930 to 1045,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41806,BIOLOGY 3:INTRO CELL BIOLOGY,Soto Reyes Ileana,Main,4
BIOL,01203,  3,(Lecture),T,1230 to 1345,SCIENC 218,(Lecture),F,1230 to 1345,SCIENC 218,(Lab),R,1230 to 1345,SCIENC 218,(Lab),R,1400 to 1515,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41807,BIOLOGY 3:INTRO CELL BIOLOGY,Soto Reyes Ileana,Main,4
BIOL,01203,  4,(Lecture),M,1100 to 1215,SCIENC 218,(Lecture),T,1100 to 1215,SCIENC 218,(Lab),W,1100 to 1215,SCIENC 218,(Lab),W,1230 to 1345,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41808,BIOLOGY 3:INTRO CELL BIOLOGY,Hoffman Rebecca K,Main,4
BIOL,01203,  5,(Class),M,1830 to 1945,SCIENC 206,(Class),W,1830 to 1945,SCIENC 206,(Class),M,2000 to 2115,SCIENC 206,(Class),W,2000 to 2115,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41809,BIOLOGY 3:INTRO CELL BIOLOGY,Demarest Renee M,Main,4
BIOL,01203,  6,(Lecture),W,1230 to 1345,SCIENC 206,(Lecture),F,1230 to 1345,SCIENC 206,(Lab),R,1230 to 1345,SCIENC 206,(Lab),R,1400 to 1515,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41810,HONR BIOL 3:INTRO CELL BIOLOGY,Krufka Alison,Main,4
BIOL,01203,  7,(Class),T,1830 to 1945,SCIENC 206,(Class),R,1830 to 1945,SCIENC 206,(Class),T,2000 to 2115,SCIENC 206,(Class),R,2000 to 2115,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41811,BIOLOGY 3:INTRO CELL BIOLOGY,Minkovsky Natalie,Main,4
BIOL,01203,  8,(Lecture),M,2130 to 2245,SCIENC 218,(Lecture),W,2130 to 2245,SCIENC 218,(Lab),S,1100 to 1215,SCIENC 218,(Lab),S,1230 to 1345,SCIENC 218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,43845,BIOLOGY 3:INTRO CELL BIOLOGY,STAFF,Main,4
BIOL,01204,  1,(Lecture),T,1100 to 1215,SCIENC 252,(Lecture),R,1100 to 1215,SCIENC 252,(Lab),W,1100 to 1215,SCIENC 252,(Lab),W,1230 to 1345,SCIENC 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41812,BIOLOGY 4:GLOBAL ECOLOGY,Padden Harry,Main,4
BIOL,01204,  2,(Lecture),M,0930 to 1045,SCIENC 252,(Lecture),W,0930 to 1045,SCIENC 252,(Lab),F,0930 to 1045,SCIENC 252,(Lab),F,1100 to 1215,SCIENC 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41813,BIOLOGY 4:GLOBAL ECOLOGY,STAFF,Main,4
BIOL,01204,  3,(Lecture),M,1530 to 1645,SCIENC 252,(Lecture),W,1530 to 1645,SCIENC 252,(Lecture),M,1700 to 1815,SCIENC 252,(Lecture),W,1700 to 1815,SCIENC 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41814,BIOLOGY 4:GLOBAL ECOLOGY,Tsoukalis Costantinos,Main,4
BIOL,01205,  1,(Lecture),M,1230 to 1345,SCIENC 126,(Lecture),W,1230 to 1345,SCIENC 126,(Lab),T,1700 to 1815,SCIENC 232,(Lab),T,1830 to 1945,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41815,FNDS IN BIO FOR BIOMED SCI I,Alpaugh Mary L`Delany-Hudzik Mary K`,Main,4
BIOL,01205,  2,(Lecture),M,1230 to 1345,SCIENC 126,(Lecture),W,1230 to 1345,SCIENC 126,(Lab),T,1400 to 1515,SCIENC 232,(Lab),T,1530 to 1645,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41816,FNDS IN BIO FOR BIOMED SCI I,Alpaugh Mary L`Delany-Hudzik Mary K`,Main,4
BIOL,01205,  3,(Lecture),M,1100 to 1215,SCIENC 126,(Lecture),W,1100 to 1215,SCIENC 126,(Lab),F,0800 to 0915,SCIENC 232,(Lab),F,0930 to 1045,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41817,FNDS IN BIO FOR BIOMED SCI I,Alpaugh Mary L,Main,4
BIOL,01205,  4,(Lecture),M,1100 to 1215,SCIENC 126,(Lecture),W,1100 to 1215,SCIENC 126,(Lab),F,1100 to 1215,SCIENC 232,(Lab),F,1230 to 1345,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41818,FNDS IN BIO FOR BIOMED SCI I,Alpaugh Mary L,Main,4
BIOL,01211,  1,(Class),T,1530 to 1645,SCIENC 128,(Class),R,1530 to 1645,SCIENC 128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41819,BIOLOGY FOR CHEMICAL ENGINEERS,Thompson Pamela L.,Main,3
BIOL,01211,  2,(Class),T,1700 to 1815,ROWAN 104,(Class),R,1700 to 1815,SAVITZ 321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41820,BIOLOGY FOR CHEMICAL ENGINEERS,Thompson Pamela L.,Main,3
BIOL,01310,  1,(Lecture),T,1100 to 1215,SCIENC 234,(Lecture),F,1100 to 1215,SCIENC 234,(Lab),R,0930 to 1045,SCIENC 234,(Lab),R,1100 to 1215,SCIENC 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41821,EVOLUTION,Bealor Matthew Thomas,Main,4
BIOL,01325,  1,(Class),M,1830 to 1945,SCIENC 220,(Class),W,1830 to 1945,SCIENC 220,(Class),M,2000 to 2115,SCIENC 220,(Class),W,2000 to 2115,SCIENC 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41822,MYCOLOGY,Oberle Jennifer Ann,Main,4
BIOL,01421,  1,(Class),M,1100 to 1215,ROWAN 304,(Class),M,1230 to 1345,ROWAN 304,(Class),M,1400 to 1515,ROWAN 304,(Class),M,1530 to 1645,ROWAN 304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41823,FNDMNTL IN CELL CULTURE TCHNQS,Iftode Cristina,Main,4
BIOL,01428,  1,(Class),S,0800 to 0915,SCIENC 206,(Class),S,0930 to 1045,SCIENC 206,(Class),S,1100 to 1215,SCIENC 206,(Class),S,1230 to 1345,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weekend,43849,DEVELOPMENTAL BIOLOGY,STAFF,Main,4
BIOL,01430,  1,(Lecture),W,0930 to 1045,SCIENC 206,(Lecture),R,0930 to 1045,SCIENC 206,(Lab),F,0930 to 1045,SCIENC 206,(Lab),F,1100 to 1215,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41824,CELL BIOLOGY,Krufka Alison,Main,4
BIOL,01430,  2,(Class),M,1530 to 1645,SCIENC 206,(Class),F,1530 to 1645,SCIENC 206,(Class),M,1700 to 1815,SCIENC 206,(Class),F,1400 to 1515,SCIENC 206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,43846,CELL BIOLOGY,STAFF,Main,4
BIOL,01445,  1,(Class),T,1100 to 1215,SCIENC 229,(Class),T,1230 to 1345,SCIENC 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41825,SP TOPICS BIO-WI:DISASTER BIOL Biology of Disasters (Natural & Unnatural)`,Oxler Steven J,Main,3
BIOL,01445,  2,(Class),R,1700 to 1815,SCIENC 229,(Class),R,1830 to 1945,SCIENC 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41826,SP TOPICS BIO-WI:CLIM CHG BIOL Climate Change Biology`,Ruhl Nathan A,Main,3
BIOL,01445,  3,(Class),M,1100 to 1215,SCIENC 229,(Class),M,1230 to 1345,SCIENC 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41827,SPEC TOPICS BIO SCI-WI,Vojvodic Svjetlana,Main,3
BIOL,01445,  4,(Class),T,1400 to 1515,SCIENC 229,(Class),T,1530 to 1645,SCIENC 229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41828,ST BIO SCI-WI:IMMUNOTHERAPY Immunotherapy:Using the Immune System to Treat Cancer`,Iftode Cristina,Main,3
BIOL,01460,  1,(Lecture),M,0930 to 1045,SCIENC 241,(Lecture),W,0930 to 1045,SCIENC 241,(Lab),T,0800 to 0915,SCIENC 241,(Lab),T,0930 to 1045,SCIENC 241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41829,ANIMAL BEHAVIOR,Hough Gerald,Main,4
BIOL,01475,  1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41830,BIOLOGY LAB/FIELD RESEARCH,Grove Michael W.,Off-campus,3
BIOL,02301,  1,(Class),M,1230 to 1345,SCIENC 252,(Class),F,1230 to 1345,SCIENC 252,(Class),M,1400 to 1515,SCIENC 252,(Class),F,1400 to 1515,SCIENC 252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41831,PLANT DIVERSITY,STAFF,Main,4
BIOL,10210,  1,(Class),T,1100 to 1215,SCIENC 232,(Class),R,1100 to 1215,SCIENC 232,(Class),T,1230 to 1345,SCIENC 232,(Class),R,1230 to 1345,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41832,HUMAN ANATOMY & PHYSIOLOGY I,STAFF,Main,4
BIOL,10210,  2,(Class),T,1830 to 1945,SCIENC 234,(Class),R,1830 to 1945,SCIENC 234,(Class),T,2000 to 2115,SCIENC 234,(Class),R,2000 to 2115,SCIENC 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41836,HUMAN ANATOMY & PHYSIOLOGY I,Hosseini Matt,Main,4
BIOL,10210,  3,(Class),M,1830 to 1945,SCIENC 232,(Class),W,1830 to 1945,SCIENC 232,(Class),M,2000 to 2115,SCIENC 232,(Class),W,2000 to 2115,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41837,HUMAN ANATOMY & PHYSIOLOGY I,Lakernick Albert S,Main,4
BIOL,10210,  4,(Class),M,1830 to 1945,SCIENC 234,(Class),W,1830 to 1945,SCIENC 234,(Class),M,2000 to 2115,SCIENC 234,(Class),W,2000 to 2115,SCIENC 234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evening,41838,HUMAN ANATOMY & PHYSIOLOGY I,Reilly Thomas M,Main,4
BIOL,10210,  5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41854,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Weisser Robyn,Online,4
BIOL,10210,  6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41855,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Lincks Maryann,Online,4
BIOL,10210,  7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41856,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Myers Earle Bruce,Online,4
BIOL,10210,  8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41857,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Young Lawrence R,Online,4
BIOL,10210,  9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41858,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Grusemeyer Carole L.,Online,4
BIOL,10210, 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41859,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Tahamont Maria,Online,4
BIOL,10210, 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41860,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Tahamont Maria,Online,4
BIOL,10210, 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Online,41861,HUMAN ANATOMY & PHYSIOLOGY I ONLINE. AFTER REGISTRATION VISIT ROWANONLINE.COM/PORTAL TO GET STARTED.`,Vinciguerra Vincent D,Online,4
BIOL,10210, 13,(Class),M,1230 to 1345,SCIENC 232,(Class),W,1230 to 1345,SCIENC 232,(Class),M,1400 to 1515,SCIENC 232,(Class),W,1400 to 1515,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44723,HUMAN ANATOMY & PHYSIOLOGY I,Early Lacey J,Main,4
BIOL,10210, 14,(Class),M,1530 to 1645,SCIENC 232,(Class),W,1530 to 1645,SCIENC 232,(Class),M,1700 to 1815,SCIENC 232,(Class),W,1700 to 1815,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,44724,HUMAN ANATOMY & PHYSIOLOGY I,Early Lacey J,Main,4
BIOL,10212,  1,(Lecture),T,0800 to 0915,SCIENC 232,(Lecture),W,0800 to 0915,SCIENC 232,(Lab),R,0800 to 0915,SCIENC 232,(Lab),R,0930 to 1045,SCIENC 232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Day,41840,HUM ANAT & PHYS II,Kollmeier Arthur T,Main,4
