CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,ARRAY(0x30e5dc0),Room Cap
21326,CS,01205,  1,Full Term ... `17-JAN to 08-MAY,Day,COMPUTER LAB TECHNQ,Provine  Darren F.,TR      0930 1045 JAMES 2113 (Class),Main,,3,28,0,0,0,28,28
21286,CS,01210,  1,Full Term ... `17-JAN to 08-MAY,Online,INTRO COMP NTWRKS/DATA COMM,Chu  Heng Yi M,   ,Online,,3,30,0,0,0,30,
23857,CS,01210,  2,Full Term ... `17-JAN to 08-MAY,Online,INTRO COMP NTWRKS/DATA COMM,Chu  Heng Yi M,   ,Online,,3,30,0,0,0,30,
21406,CS,01395,  1,Full Term ... `17-JAN to 08-MAY,Day,SEL TOPICS:MACHINE LEARNING,Ho  Shen Shyang,TR      1530 1645 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21408,CS,01395,  2,Full Term ... `17-JAN to 08-MAY,Evening,SEL TOPICS:SECURE SOFTWARE,Humphreys  David J,W       1830 1945 BOZ 129 (Class)`W       2000 2115 BOZ 129 (Class),Main,,3,30,0,0,0,30,40
21290,CS,04103,  1,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,STAFF,M       1830 1945 ROBSON 312 (Lab)`M       2000 2115 ROBSON 312 (Lab)`W       1830 1945 BUNCE 104 (Lecture)`W       2000 2115 BUNCE 104 (Lecture),Main,,4,24,0,0,0,24,24
21291,CS,04103,  2,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,STAFF,T       1830 1945 ROBSON 325 (Lab)`T       2000 2115 ROBSON 325 (Lab)`R       1830 1945 WILSON 203 (Lecture)`R       2000 2115 WILSON 203 (Lecture),Main,,4,25,0,0,0,25,24
21292,CS,04103,  3,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,STAFF,W       1830 1945 JAMES 2113 (Lab)`W       2000 2115 JAMES 2113 (Lab)`R       1830 1945 ROBSON 211 (Lecture)`R       2000 2115 ROBSON 211 (Lecture),Main,,4,25,0,0,0,25,28
21293,CS,04103,  4,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,STAFF,M       1830 1945 ROBSON 325 (Lab)`M       2000 2115 ROBSON 325 (Lab)`R       1830 1945 ROBSON 211 (Lecture)`R       2000 2115 ROBSON 211 (Lecture),Main,,4,25,0,0,0,25,25
21294,CS,04103,  5,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,Giannotti  Robert M,T       1830 1945 ROBSON 211 (Lecture)`T       2000 2115 ROBSON 211 (Lecture)`R       1830 1945 ROBSON 325 (Lab)`R       2000 2115 ROBSON 325 (Lab),Main,,4,25,0,0,0,25,25
21295,CS,04103,  6,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,Giannotti  Robert M,M       1830 1945 JAMES 2113 (Lab)`M       2000 2115 JAMES 2113 (Lab)`T       1830 1945 ROBSON 211 (Lecture)`T       2000 2115 ROBSON 211 (Lecture),Main,,4,25,0,0,0,25,28
21296,CS,04103,  7,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,STAFF,WF      1700 1815 BUNCE 104 (Lecture)`R       1830 1945 ROBSON 312 (Lab)`R       2000 2115 ROBSON 312 (Lab),Main,,4,0,0,0,0,0,24
23819,CS,04103,  8,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER SCI & PROGM,STAFF,T       1830 1945 WILSON 203 (Lecture)`T       2000 2115 WILSON 203 (Lecture)`R       1830 1945 JAMES 2113 (Lab)`R       2000 2115 JAMES 2113 (Lab),Main,,4,0,0,0,0,0,24
21327,CS,04113,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO OBJ-ORIENT PRGRMMNG-RS,Ho  Shen Shyang`Basu  Shubasri`,TR      1100 1215 ROBSON 211 (Lecture)`T       1230 1345 ROBSON 312 (Lab)`T       1400 1515 ROBSON 312 (Lab),Main,,4,0,0,0,0,0,25
21328,CS,04113,  2,Full Term ... `17-JAN to 08-MAY,Day,INTRO OBJ-ORIENT PRGRMMNG-RS,Ho  Shen Shyang`Basu  Shubasri`,TR      1100 1215 ROBSON 211 (Lecture)`R       1230 1345 ROBSON 312 (Lab)`R       1400 1515 ROBSON 312 (Lab),Main,,4,0,0,0,0,0,25
21330,CS,04113,  3,Full Term ... `17-JAN to 08-MAY,Day,INTRO OBJ-ORIENT PRGRMMNG-RS,Chien  Chia C,MW      0930 1045 ROBSON 211 (Lecture)`R       0930 1045 ROBSON 325 (Lab)`R       1100 1215 ROBSON 325 (Lab),Main,,4,0,0,0,0,0,25
21331,CS,04113,  4,Full Term ... `17-JAN to 08-MAY,Day,INTRO OBJ-ORIENT PRGRMMNG-RS,Chien  Chia C,MW      0930 1045 ROBSON 211 (Lecture)`F       0930 1045 ROBSON 325 (Lab)`F       1100 1215 ROBSON 325 (Lab),Main,,4,0,0,0,0,0,25
21334,CS,04114,  1,Full Term ... `17-JAN to 08-MAY,Day,OBJ-ORIENT PRGRM/DATA ABSTR,Weissman  Stephen B,M       0930 1045 JAMES 2113 (Lab)`M       1100 1215 JAMES 2113 (Lab)`WF      0930 1045 ROBSON 323 (Lecture),Main,,4,24,0,0,0,24,28
21335,CS,04114,  2,Full Term ... `17-JAN to 08-MAY,Day,OBJ-ORIENT PRGRM/DATA ABSTR,Weissman  Stephen B,M       1230 1345 JAMES 2113 (Lab)`M       1400 1515 JAMES 2113 (Lab)`WF      1230 1345 ROBSON 323 (Lecture),Main,,4,28,0,0,0,28,28
21337,CS,04114,  3,Full Term ... `17-JAN to 08-MAY,Day,OBJ-ORIENT PRGRM/DATA ABSTR,Shahzad  Nadeem,TR      0800 0915 ROBSON 323 (Lecture)`F       0800 0915 JAMES 2113 (Lab)`F       0930 1045 JAMES 2113 (Lab),Main,,4,28,0,0,0,28,28
21338,CS,04114,  4,Full Term ... `17-JAN to 08-MAY,Day,OBJ-ORIENT PRGRM/DATA ABSTR,Shahzad  Nadeem,TR      1100 1215 ROBSON 323 (Lecture)`F       1100 1215 JAMES 2113 (Lab)`F       1230 1345 JAMES 2113 (Lab),Main,,4,28,0,0,0,28,28
21339,CS,04114,  5,Full Term ... `17-JAN to 08-MAY,Evening,OBJ-ORIENT PRGRM/DATA ABSTR,STAFF,M       1830 1945 BUNCE 104 (Lecture)`M       2000 2115 BUNCE 104 (Lecture)`W       1830 1945 ROBSON 325 (Lab)`W       2000 2115 ROBSON 325 (Lab),Main,,4,25,0,0,0,25,24
21341,CS,04114,  6,Full Term ... `17-JAN to 08-MAY,Evening,OBJ-ORIENT PRGRM/DATA ABSTR,STAFF,T       1830 1945 ROBSON 312 (Lab)`T       2000 2115 ROBSON 312 (Lab)`W       1830 1945 WILSON 204 (Lecture)`W       2000 2115 WILSON 204 (Lecture),Main,,4,24,0,0,0,24,24
21288,CS,04210,  1,Full Term ... `17-JAN to 08-MAY,Day,ADV PROGRAMMING WORKSHOP,Breitzman  Anthony F,MW      1530 1620 ROBSON 325 (Class),Main,,2,25,0,0,0,25,25
21289,CS,04210,  2,Full Term ... `17-JAN to 08-MAY,Evening,ADV PROGRAMMING WORKSHOP,Breitzman  Anthony F,MW      1700 1750 ROBSON 325 (Class),Main,,2,25,0,0,0,25,25
21342,CS,04222,  1,Full Term ... `17-JAN to 08-MAY,Day,DATA STRUCT/ALGORIM,Bergmann  Seth,MW      0800 0915 ROBSON 323 (Lecture)`F       0800 0915 ROBSON 312 (Lab)`F       0930 1045 ROBSON 312 (Lab),Main,,4,25,0,0,0,25,25
21343,CS,04222,  2,Full Term ... `17-JAN to 08-MAY,Day,DATA STRUCT/ALGORIM,Hristescu  Gabriela,M       0930 1045 ROBSON 325 (Lab)`M       1100 1215 ROBSON 325 (Lab)`TR      0930 1045 ROBSON 211 (Lecture),Main,,4,24,0,0,0,24,25
21345,CS,04222,  3,Full Term ... `17-JAN to 08-MAY,Day,DATA STRUCT/ALGORIM,Hristescu  Gabriela,M       1230 1345 ROBSON 325 (Lab)`M       1400 1515 ROBSON 325 (Lab)`TR      0930 1045 ROBSON 211 (Lecture),Main,,4,24,0,0,0,24,25
21346,CS,04222,  4,Full Term ... `17-JAN to 08-MAY,Evening,DATA STRUCT/ALGORIM,White  Curtis C,M       1830 1945 WILSON 203 (Lecture)`M       2000 2115 WILSON 203 (Lecture)`W       1830 1945 ROBSON 312 (Lab)`W       2000 2115 ROBSON 312 (Lab),Main,,4,24,0,0,0,24,24
21348,CS,04225,  1,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF DATA STRUCTURES,STAFF,T       1830 1945 BUNCE 104 (Class)`T       2000 2115 BUNCE 104 (Class),Main,,3,24,0,0,0,24,24
21349,CS,04225,  2,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF DATA STRUCTURES,McKee  Patrick M,M       1230 1345 ROBSON 323 (Class)`F       1230 1345 ROBSON 211 (Class),Main,,3,30,0,0,0,30,30
21351,CS,04225,  3,Full Term ... `17-JAN to 08-MAY,Day,PRINCIPLES OF DATA STRUCTURES,STAFF,RF      1530 1645 ROBSON 211 (Class),Main,,3,0,0,0,0,0,48
21352,CS,04225,  4,Full Term ... `17-JAN to 08-MAY,Evening,PRINCIPLES OF DATA STRUCTURES,STAFF,TR      1700 1815 BOZ 129 (Class),Main,,3,30,0,0,0,30,40
21404,CS,04305,  1,Full Term ... `17-JAN to 08-MAY,Day,WEB PROGRAMMING,Provine  Darren F.,TR      1400 1515 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21354,CS,04315,  1,Full Term ... `17-JAN to 08-MAY,Day,PROGRAMMING LANGUAGES,Tinkham  Nancy,TR      1230 1345 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21355,CS,04315,  2,Full Term ... `17-JAN to 08-MAY,Day,PROGRAMMING LANGUAGES,Tinkham  Nancy,TR      1400 1515 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21356,CS,04315,  3,Full Term ... `17-JAN to 08-MAY,Evening,PROGRAMMING LANGUAGES,STAFF,TR      1700 1815 BUNCE 104 (Class),Main,,3,0,0,0,0,0,24
21388,CS,04371,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO TO ANDROID PROGRAMMING,Robinson  John H.,MW      1230 1345 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21284,CS,04376,  1,Full Term ... `17-JAN to 08-MAY,Evening,ADVANCED IOS APP PROGRAMMING,Robinson  John H.,MW      1830 1945 JAMES 2110 (Class),Main,,3,28,0,0,0,28,28
21357,CS,04390,  1,Full Term ... `17-JAN to 08-MAY,Day,OPERATING SYSTEMS,McKee  Patrick M,MF      0800 0915 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21358,CS,04390,  2,Full Term ... `17-JAN to 08-MAY,Day,OPERATING SYSTEMS,McKee  Patrick M,MF      1100 1215 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21359,CS,04390,  3,Full Term ... `17-JAN to 08-MAY,Evening,OPERATING SYSTEMS,STAFF,M       1830 1945 BOZ 129 (Class)`M       2000 2115 BOZ 129 (Class),Main,,3,0,0,0,0,0,40
21360,CS,04400,  1,Full Term ... `17-JAN to 08-MAY,Day,COMP SCI-SENIOR PROJ,Baliga  Ganesh R.,M       1400 1515 ROBSON 211 (Class),Main,,3,24,0,0,0,24,48
21361,CS,04400,  2,Full Term ... `17-JAN to 08-MAY,Day,COMP SCI-SENIOR PROJ,Baliga  Ganesh R.,W       1400 1515 ROBSON 211 (Class),Main,,3,24,0,0,0,24,48
21409,CS,04505,  1,Full Term ... `17-JAN to 08-MAY,Evening,ADVANCED WEB PROGRAMMING,Provine  Darren F.,W       1830 1945 ROBSON 323 (Class)`W       2000 2115 ROBSON 323 (Class),Main,,3,24,0,0,0,24,30
21412,CS,04548,  1,Full Term ... `17-JAN to 08-MAY,Evening,PROG LANG:THEORY/IMP,Tinkham  Nancy,T       1830 1945 ROBSON 323 (Class)`T       2000 2115 ROBSON 323 (Class),Main,,3,24,0,0,0,24,30
21363,CS,06205,  1,Full Term ... `17-JAN to 08-MAY,Day,COMPUTER ORGANIZATION,Mansaray  Mohamed S,MF      1100 1215 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21364,CS,06205,  2,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER ORGANIZATION,Mansaray  Mohamed S,MF      1700 1815 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21366,CS,06205,  3,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER ORGANIZATION,Mansaray  Mohamed S,M       1830 1945 ROBSON 211 (Class)`M       2000 2115 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21367,CS,06310,  1,Full Term ... `17-JAN to 08-MAY,Day,PRIN DIGITAL COMPUTR,Xu  Jianning,TR      0800 0915 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21368,CS,06310,  2,Full Term ... `17-JAN to 08-MAY,Day,PRIN DIGITAL COMPUTR,Xu  Jianning,W       0800 0915 ROBSON 211 (Class)`F       0800 0915 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21369,CS,06310,  3,Full Term ... `17-JAN to 08-MAY,Day,PRIN DIGITAL COMPUTR,Xu  Jianning,M       0930 1045 ROBSON 323 (Class)`F       0930 1045 ROBSON 211 (Class),Main,,3,30,0,0,0,30,30
21370,CS,06311,  1,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL COMPUTER LAB,Shui  Lisa Yi,MW      1100 1215 ROBSON 312 (Class),Main,,1,25,0,0,0,25,25
21372,CS,06311,  2,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL COMPUTER LAB,Shui  Lisa Yi,MW      1230 1345 ROBSON 312 (Class),Main,,1,25,0,0,0,25,25
21373,CS,06311,  3,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL COMPUTER LAB,Shui  Lisa Yi,MW      1400 1515 ROBSON 312 (Class),Main,,1,25,0,0,0,25,25
21374,CS,06311,  4,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL COMPUTER LAB,Robinson  John H.,MW      1530 1645 ROBSON 312 (Class),Main,,1,25,0,0,0,25,25
21391,CS,06390,  1,Full Term ... `17-JAN to 08-MAY,Evening,INTRO SYST SIMULATION/MODELING,Safko  Gregory J,M       1830 1945 ROBSON 323 (Class)`M       2000 2115 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21392,CS,06417,  1,Full Term ... `17-JAN to 08-MAY,Evening,PRINCIPLES OF NETWORK SECURITY,Davie  Michael S,TR      1700 1815 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
23820,CS,06420,  1,Full Term ... `17-JAN to 08-MAY,Day,EMBEDDED SYSTEMS PROGRAMMING,STAFF,R       1230 1345 ROBSON 324 (Class)`F       1230 1345 JAMES 2105 (Class),Main,,3,30,0,0,0,30,30
21377,CS,07210,  1,Full Term ... `17-JAN to 08-MAY,Day,FOUNDATIONS COMP SCI,Bergmann  Seth,TR      0930 1045 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21378,CS,07210,  2,Full Term ... `17-JAN to 08-MAY,Day,FOUNDATIONS COMP SCI,Bergmann  Seth,TR      1230 1345 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21379,CS,07210,  3,Full Term ... `17-JAN to 08-MAY,Day,FOUNDATIONS COMP SCI,Baliga  Ganesh R.,MW      1530 1645 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21287,CS,07252,  1,Full Term ... `17-JAN to 08-MAY,Evening,FOUND OF COMPUTER FORENSICS,Gonzalez  Gilbert E.,R       1830 1945 BOZ 129 (Class)`R       2000 2115 BOZ 129 (Class),Main,,3,30,0,0,0,30,40
21381,CS,07320,  1,Full Term ... `17-JAN to 08-MAY,Day,SOFTWARE ENGINEERING LAB,Myers  Jack F,T       1530 1645 ROBSON 211 (Class),Main,,1,30,0,0,0,30,48
23686,CS,07321,  1,Full Term ... `17-JAN to 08-MAY,Evening,SOFTWARE ENGINEERING I-WI,Pierantozzi  Jeffrey C,R       1830 1945 ROBSON 323 (Class)`R       2000 2115 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
23687,CS,07321,  2,Full Term ... `17-JAN to 08-MAY,Evening,SOFTWARE ENGINEERING I-WI,Myers  Jack F,MW      1530 1645 ROBSON 308 (Class),Main,,3,30,0,0,0,30,30
21382,CS,07340,  1,Full Term ... `17-JAN to 08-MAY,Day,DES-ANLYS ALGORITHMS,Lobo  Andrea F.,MW      1400 1515 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
21383,CS,07340,  2,Full Term ... `17-JAN to 08-MAY,Day,DES-ANLYS ALGORITHMS,Lobo  Andrea F.,MW      1530 1645 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21384,CS,07340,  3,Full Term ... `17-JAN to 08-MAY,Evening,DES-ANLYS ALGORITHMS,Lobo  Andrea F.,MW      1700 1815 ROBSON 323 (Class),Main,,3,30,0,0,0,30,30
23856,CS,07450,  1,Full Term ... `17-JAN to 08-MAY,Evening,ARTIFICIAL INTELLIGENCE (AI),Tinkham  Nancy,W       1830 1945 ROBSON 211 (Class)`W       2000 2115 ROBSON 211 (Class),Main,,3,30,0,0,0,30,48
21411,CS,07556,  1,Full Term ... `17-JAN to 08-MAY,Evening,MACHINE LEARNING,Ho  Shen Shyang,TR      1700 1815 WILSON 203 (Class),Main,,3,24,0,0,0,24,24
21413,CS,07575,  1,Full Term ... `17-JAN to 08-MAY,Evening,ADV TCP/IP INTRNT PROT/TECH,Hnatyshin  Vasil Yaroslavovize,MW      1700 1815 SAVITZ 321 (Class),Main,,3,24,0,0,0,24,30
21414,CS,07595,  1,Full Term ... `17-JAN to 08-MAY,Evening,ADV TOPICS CS:DATA MINING II,Breitzman  Anthony F,M       1830 1945 JAMES 3110 (Class)`M       2000 2115 JAMES 3110 (Class),Main,,3,12,0,0,0,12,36
21285,CS,10430,  1,Full Term ... `17-JAN to 08-MAY,Evening,COMP INFORMATICS CAPSTONE EXP,Chu  Heng Yi M,F       1530 1645 ROBSON 323 (Class)`F       1700 1815 ROBSON 323 (Class),Main,,3,24,0,0,0,24,30
23858,DA,02605,  1,Full Term ... `17-JAN to 08-MAY,Evening,DATA MINING II,Breitzman  Anthony F,M       1830 1945 JAMES 3110 (Class)`M       2000 2115 JAMES 3110 (Class),Main,,3,12,0,0,0,12,36
24220,DPEM,00101,  1,Full Term ... `17-JAN to 08-MAY,Evening,INTRO TO EMG MGMT/HOMELAND SEC,Lakomy  Radek,T       1830 1945 RUCAB 306 (Class)`T       2000 2115 RUCAB 306 (Class),Camden,,3,25,0,0,0,25,25
24219,DPEM,00400,  1,Full Term ... `17-JAN to 08-MAY,Evening,DISASTER PLNG  MIT & RECOVERY,Clark  Len Elisha,W       1830 1945 RUCAB 306 (Class)`W       2000 2115 RUCAB 306 (Class),Camden,,3,25,0,0,0,25,25
23521,DPEM,00410,  1,Full Term ... `17-JAN to 08-MAY,Evening,PUB LEADER IN CRISIS MGMT/COMM,Clark  Len Elisha,M       1830 1945 RUCAB 111 (Class)`M       2000 2115 RUCAB 111 (Class),Camden,,3,27,0,0,0,27,27
22925,ECE,09205,  1,Full Term ... `17-JAN to 08-MAY,Day,PRINC/APPL OF ECE FOR NONMAJOR,STAFF,M       0800 0915 REXT 338 (Class)`M       0930 1045 REXT 338 (Class)`TR      0800 0850 REXT 319 (Class),Main,,3,24,0,0,0,24,24
22926,ECE,09205,  2,Full Term ... `17-JAN to 08-MAY,Day,PRINC/APPL OF ECE FOR NONMAJOR,STAFF,TR      0930 1045 REXT 319 (Class)`F       0800 0915 REXT 338 (Class)`F       0930 1045 REXT 338 (Class),Main,,3,24,0,0,0,24,24
22927,ECE,09205,  3,Full Term ... `17-JAN to 08-MAY,Day,PRINC/APPL OF ECE FOR NONMAJOR,STAFF,TR      1100 1150 REXT 319 (Class)`F       1100 1215 REXT 338 (Class)`F       1230 1345 REXT 338 (Class),Main,,3,24,0,0,0,24,24
22928,ECE,09243,  1,Full Term ... `17-JAN to 08-MAY,Day,COMPUTER ARCHITECTURE,STAFF,MW      1100 1215 REXT 339 (Class)`T       0800 0915 REXT 339 (Class)`T       0930 1045 REXT 339 (Class),Main,,3,24,0,0,0,24,24
22929,ECE,09243,  2,Full Term ... `17-JAN to 08-MAY,Day,COMPUTER ARCHITECTURE,STAFF,MW      1400 1515 REXT 339 (Class)`T       1530 1645 REXT 339 (Class)`T       1700 1815 REXT 339 (Class),Main,,3,24,0,0,0,24,24
22930,ECE,09243,  3,Full Term ... `17-JAN to 08-MAY,Day,COMPUTER ARCHITECTURE,STAFF,MW      1530 1645 REXT 339 (Class)`R       0800 0915 REXT 339 (Class)`R       0930 1045 REXT 339 (Class),Main,,3,24,0,0,0,24,24
22931,ECE,09243,  4,Full Term ... `17-JAN to 08-MAY,Evening,COMPUTER ARCHITECTURE,STAFF,MW      1700 1815 REXT 339 (Class)`R       1530 1645 REXT 339 (Class)`R       1700 1815 REXT 339 (Class),Main,,3,24,0,0,0,24,24
22932,ECE,09311,  1,Full Term ... `17-JAN to 08-MAY,Day,ELECTRONICS I,STAFF,MW      1100 1215 REXT 338 (Class)`T       0800 0915 REXT 338 (Class)`T       0930 1045 REXT 338 (Class),Main,,3,24,0,0,0,24,24
22935,ECE,09311,  2,Full Term ... `17-JAN to 08-MAY,Day,ELECTRONICS I,STAFF,MW      1400 1515 REXT 338 (Class)`T       1530 1645 REXT 338 (Class)`T       1700 1815 REXT 338 (Class),Main,,3,24,0,0,0,24,24
22940,ECE,09311,  3,Full Term ... `17-JAN to 08-MAY,Day,ELECTRONICS I,STAFF,MW      1530 1645 REXT 338 (Class)`R       0800 0915 REXT 338 (Class)`R       0930 1045 REXT 338 (Class),Main,,3,24,0,0,0,24,24
22947,ECE,09311,  4,Full Term ... `17-JAN to 08-MAY,Evening,ELECTRONICS I,STAFF,MW      1700 1815 REXT 338 (Class)`R       1530 1645 REXT 338 (Class)`R       1700 1815 REXT 338 (Class),Main,,3,24,0,0,0,24,24
22951,ECE,09321,  1,Full Term ... `17-JAN to 08-MAY,Day,SYSTEMS AND CONTROL I,STAFF,MW      0800 0915 REXT 340 (Class)`T       1530 1645 REXT 340 (Class)`T       1700 1815 REXT 340 (Class),Main,,3,24,0,0,0,24,24
22953,ECE,09321,  2,Full Term ... `17-JAN to 08-MAY,Day,SYSTEMS AND CONTROL I,STAFF,MW      0930 1045 REXT 340 (Class)`R       1530 1645 REXT 340 (Class)`R       1700 1815 REXT 340 (Class),Main,,3,24,0,0,0,24,24
22959,ECE,09321,  3,Full Term ... `17-JAN to 08-MAY,Day,SYSTEMS AND CONTROL I,STAFF,MW      1100 1215 REXT 340 (Class)`F       1100 1215 REXT 340 (Class)`F       1230 1345 REXT 340 (Class),Main,,3,24,0,0,0,24,24
22966,ECE,09351,  1,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL SIGNAL PROCESSING,STAFF,M       1530 1645 REXT 340 (Class)`M       1700 1815 REXT 340 (Class)`TR      0800 0915 REXT 340 (Class),Main,,3,24,0,0,0,24,24
23075,ECE,09351,  2,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL SIGNAL PROCESSING,STAFF,TR      0930 1045 REXT 340 (Class)`W       1400 1515 REXT 340 (Class)`W       1530 1645 REXT 340 (Class),Main,,3,24,0,0,0,24,24
23077,ECE,09351,  3,Full Term ... `17-JAN to 08-MAY,Day,DIGITAL SIGNAL PROCESSING,STAFF,TR      1100 1215 REXT 340 (Class)`F       0800 0915 REXT 340 (Class)`F       0930 1045 REXT 340 (Class),Main,,3,24,0,0,0,24,24
23079,ECE,09363,  1,Full Term ... `17-JAN to 08-MAY,Day,MODULES IN ECE,STAFF,M       1230 1345 REXT 341 (Class),Main,,1,24,0,0,0,24,24
23080,ECE,09363,  2,Full Term ... `17-JAN to 08-MAY,Day,MODULES IN ECE,STAFF,M       1400 1515 REXT 341 (Class),Main,,1,24,0,0,0,24,24
23790,ECE,09402,  1,Full Term ... `17-JAN to 08-MAY,Day,TOPICS IN ELEC & COMP ENGN,STAFF,,Main,,3,0,0,0,0,0,
23082,ECE,09402,  2,Full Term ... `17-JAN to 08-MAY,Evening,TOPICS IN ELEC & COMP ENGN,STAFF,,Main,,3,0,0,0,0,0,
23084,ECE,09402,  3,Full Term ... `17-JAN to 08-MAY,Day,TOPICS IN ELEC & COMP ENGN,STAFF,,Main,,3,0,0,0,0,0,
23087,ECE,09402,  4,Full Term ... `17-JAN to 08-MAY,Evening,TOPICS IN ELEC & COMP ENGN,STAFF,,Main,,3,0,0,0,0,0,
23088,ECE,09402,  5,Full Term ... `17-JAN to 08-MAY,Evening,TOPICS IN ELEC & COMP ENGN,STAFF,,Main,,3,0,0,0,0,0,0
23091,ECE,09402,  6,Full Term ... `17-JAN to 08-MAY,Evening,TPCS IN ECE:COMMAND & CONTROL,Schuck  Tod M,W       1700 1815 REXT 319 (Class)`W       1830 1945 REXT 319 (Class),Main,,3,15,0,0,0,15,40
23093,ECE,09402,  7,Full Term ... `17-JAN to 08-MAY,Evening,TPCS IN ECE:ELECTRONICS II,Krchnavek  Robert R.,R       1700 1815 REXT 341 (Class)`R       1830 1945 REXT 341 (Class),Main,,3,15,0,0,0,15,24
23102,ECE,09402,  8,Full Term ... `17-JAN to 08-MAY,Day,TPCS IN ECE:INTRO PHOTONICS Intro to Photonics & Lightwave Comm`,Wu  Ben,F       1100 1215 REXT 341 (Class)`F       1230 1345 REXT 341 (Class),Main,,3,15,0,0,0,15,24
24227,ECE,09402,  9,Full Term ... `17-JAN to 08-MAY,Evening,TPCS IN ECE:WEAPON SYSTEMS,Bock  Gregory F,R       1700 1815 REXT 319 (Class)`R       1830 1945 REXT 319 (Class),Main,,3,15,0,0,0,15,40
23114,ECE,09404,  1,Full Term ... `17-JAN to 08-MAY,Day,PRIN BIOMED SYSTEMS/DEVICES For Biomedical Engineering Majors Only`,STAFF,F       0800 0915 REXT 339 (Class)`F       0930 1045 REXT 339 (Class),Main,,3,24,0,0,0,24,24
23119,ECE,09404,  2,Full Term ... `17-JAN to 08-MAY,Day,PRIN BIOMED SYSTEMS/DEVICES For Biomedical Engineering Majors Only`,STAFF,F       1100 1215 REXT 339 (Class)`F       1230 1345 REXT 339 (Class),Main,,3,24,0,0,0,24,24
24223,ECE,09456,  1,Full Term ... `17-JAN to 08-MAY,Evening,EMBEDDED SOFTWARE DESIGN,Muhlbaier  Michael David,MW      1830 1945 REXT 341 (Class),Main,,3,15,0,0,0,15,24
23123,ECE,09462,  1,Full Term ... `17-JAN to 08-MAY,Day,ELECT ENGR CLINIC CONSULT II,STAFF,M       1400 1515 REXT 319 (Class),Main,,1,24,0,0,0,24,40
23125,ECE,09462,  2,Full Term ... `17-JAN to 08-MAY,Day,ELECT ENGR CLINIC CONSULT II,STAFF,M       1530 1645 REXT 319 (Class),Main,,1,24,0,0,0,24,40
24225,ECE,09468,  1,Full Term ... `17-JAN to 08-MAY,Day,INTRO DISCRETE EVENT SYSTEMS,Tang  Ying,TR      1530 1645 REXT 341 (Class),Main,,3,15,0,0,0,15,24
24226,ECE,09482,  1,Full Term ... `17-JAN to 08-MAY,Evening,INTRO MEMRIST/NANOELECTR VLSI,Shin  Sangho,T       1700 1815 REXT 341 (Class)`T       1830 1945 REXT 341 (Class),Main,,3,15,0,0,0,15,24
23136,ECE,09498,  1,Full Term ... `17-JAN to 08-MAY,Day,SEMINAR: ENG FRONTIERS,STAFF,M       0930 1045 REXT 319 (Class),Main,,1,24,0,0,0,24,40
